A_V_mag,caseB_predicted_ratio,observed_ratio
0.0,1.798002219755827,3.3523777910595367
0.01,1.7998515213753556,3.3523777910595367
0.02,1.801702725059544,3.3523777910595367
0.03,1.8035558327647252,3.3523777910595367
0.04,1.805410846449244,3.3523777910595367
0.05,1.8072677680734608,3.3523777910595367
0.06,1.80912659959975,3.3523777910595367
0.07,1.810987342992507,3.3523777910595367
0.08,1.8128500002181451,3.3523777910595367
0.09,1.8147145732451029,3.3523777910595367
0.1,1.8165810640438407,3.3523777910595367
0.11,1.8184494745868478,3.3523777910595367
0.12,1.8203198068486406,3.3523777910595367
0.13,1.822192062805768,3.3523777910595367
0.14,1.8240662444368099,3.3523777910595367
0.15,1.8259423537223831,3.3523777910595367
0.16,1.8278203926451404,3.3523777910595367
0.17,1.8297003631897735,3.3523777910595367
0.18,1.831582267343017,3.3523777910595367
0.19,1.8334661070936475,3.3523777910595367
0.2,1.8353518844324876,3.3523777910595367
0.21,1.8372396013524073,3.3523777910595367
0.22,1.8391292598483266,3.3523777910595367
0.23,1.8410208619172173,3.3523777910595367
0.24,1.8429144095581054,3.3523777910595367
0.25,1.844809904772072,3.3523777910595367
0.26,1.8467073495622577,3.3523777910595367
0.27,1.8486067459338622,3.3523777910595367
0.28,1.8505080958941487,3.3523777910595367
0.29,1.852411401452444,3.3523777910595367
0.3,1.8543166646201419,3.3523777910595367
0.31,1.8562238874107047,3.3523777910595367
0.32,1.8581330718396667,3.3523777910595367
0.33,1.860044219924634,3.3523777910595367
0.34,1.8619573336852882,3.3523777910595367
0.35000000000000003,1.863872415143389,3.3523777910595367
0.36,1.8657894663227739,3.3523777910595367
0.37,1.8677084892493634,3.3523777910595367
0.38,1.8696294859511617,3.3523777910595367
0.39,1.871552458458258,3.3523777910595367
0.4,1.8734774088028299,3.3523777910595367
0.41000000000000003,1.8754043390191453,3.3523777910595367
0.42,1.877333251143564,3.3523777910595367
0.43,1.8792641472145417,3.3523777910595367
0.44,1.8811970292726288,3.3523777910595367
0.45,1.883131899360475,3.3523777910595367
0.46,1.8850687595228315,3.3523777910595367
0.47000000000000003,1.8870076118065524,3.3523777910595367
0.48,1.8889484582605969,3.3523777910595367
0.49,1.8908913009360315,3.3523777910595367
0.5,1.8928361418860324,3.3523777910595367
0.51,1.894782983165888,3.3523777910595367
0.52,1.896731826833,3.3523777910595367
