element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""""","=""""","=""1281.927""","=""0.005""","=""""","=""2.2e+03""",D,"=""81344.05485""","=""89142.68""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,1,"=""1281.9912""","=""0.0013""","=""1281.99242""","=""0.00023""","=""29""","=""""",,"=""24335.766""","=""32133.991""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""1282.0635""","=""0.0005""","=""1282.06410""","=""0.00023""","=""9""","=""""",,"=""41130.599""","=""48928.388""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d7.(4F).5s""","=""e 3F""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""1282.2794""","=""0.0002""","=""1282.27968""","=""0.00012""","=""1.4""","=""""",,"=""106361.238""","=""114157.716""","=""3d6.(5D).6p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1282.32641""","=""0.00019""","=""1282.32623""","=""0.00016""","=""9""","=""6.e+03""",D,"=""65696.053""","=""73492.248""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d5.4s2""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Al,3,"=""""","=""""","=""1282.345""","=""""","=""""","=""2.26e+07""",A+,"=""170637.35""","=""178433.43""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""1/2""",,"=""c32""","=""""",
Fe,1,"=""1282.4860""","=""0.0005""","=""1282.48596""","=""0.00023""","=""407""","=""""",,"=""24338.767""","=""32133.991""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""1282.6585""","=""0.0005""","=""1282.65774""","=""0.00023""","=""12""","=""""",,"=""46889.142""","=""54683.322""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""1284.0573""","=""0.0005""","=""1284.05742""","=""0.00023""","=""229""","=""""",,"=""39969.853""","=""47755.537""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""1284.19205""","=""0.00018""","=""1284.19136""","=""0.00010""","=""2.1""","=""""",,"=""105155.093""","=""112939.965""","=""3d6.(3F2).4d""","=""4G""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Cs,2,"=""1284.26406""","=""0.00013""","=""1284.26391""","=""0.00020""","=""4500""","=""""",,"=""163189.3511""","=""170973.7833""","=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L12126""",
Fe,2,"=""1284.2937""","=""0.0003""","=""1284.29397""","=""0.00013""","=""1.2""","=""""",,"=""105127.773""","=""112912.023""","=""3d6.(5D).5d""","=""4D""","=""5/2""","=""3d6.(5D<4>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1284.502""","=""0.005""","=""""","=""5.e+04""",D,"=""80801.28887""","=""88584.28""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,2,"=""1284.50327""","=""0.00008""","=""1284.50420""","=""0.00010""","=""10""","=""""",,"=""107197.107""","=""114980.083""","=""3d6.(5D).6p""","=""6P*""","=""7/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1284.5854""","=""0.0004""","=""1284.58656""","=""0.00008""","=""1""","=""""",,"=""106863.620""","=""114646.097""","=""3d6.(5D).6p""","=""4D*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
He,1,"=""1284.596""","=""""","=""1284.594414""","=""0.000007""","=""7*""","=""1.5176e+06""",AAA,"=""[185564.55932651]""","=""[193346.988738]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""L885""",
He,1,"=""1284.596""","=""""","=""1284.598043""","=""0.000007""","=""7*""","=""9.1057e+05""",AAA,"=""[185564.5813147]""","=""[193346.988738]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""L885""",
He,1,"=""""","=""""","=""1284.642727""","=""0.000007""","=""""","=""3.0352e+05""",AAA,"=""[185564.8520073]""","=""[193346.988738]""","=""1s.3p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Si,2,"=""""","=""""","=""1284.672""","=""""","=""""","=""1.62e+06""",D,"=""118522.86""","=""126304.82""","=""3s2.6d""","=""2D""","=""3/2""","=""3s2.9f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""""",
Si,2,"=""""","=""""","=""1284.683""","=""""","=""""","=""1.16e+05""",E,"=""118522.93""","=""126304.82""","=""3s2.6d""","=""2D""","=""5/2""","=""3s2.9f""","=""2F*""","=""5/2""",,"=""T6527c4,LS""","=""""",
Si,2,"=""""","=""""","=""1284.683""","=""""","=""""","=""1.74e+06""",D,"=""118522.93""","=""126304.82""","=""3s2.6d""","=""2D""","=""5/2""","=""3s2.9f""","=""2F*""","=""7/2""",,"=""T6527c4,LS""","=""""",
Ar,2,"=""1284.7057""","=""0.0002""","=""1284.70579""","=""0.00007""","=""48""","=""""",,"=""182951.2609""","=""190733.0156""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",,"=""""","=""L9974""",
C,1,"=""""","=""""","=""1284.963""","=""0.020""","=""""","=""5.e+03""",D,"=""81311.0544""","=""89091.25""","=""2s2.2p.4p""","=""3P""","=""0""","=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""T5520LS""","=""""",
Ne,1,"=""1285.3034""","=""0.0004""","=""1285.30376""","=""0.00023""","=""5""","=""7.34e+04""",C+,"=""162517.8755""","=""170296.0099""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
C,1,"=""""","=""""","=""1285.628""","=""0.021""","=""""","=""3.0e+04""",D,"=""80782.44916""","=""88558.62""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""T5520LS""","=""""",
Mg,2,"=""""","=""""","=""1285.630""","=""""","=""""","=""1.30e+05""",D+,"=""109062.32""","=""116838.48""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.10d""","=""2D""","=""3/2""",,"=""c59,LS""","=""""",
Mg,2,"=""""","=""""","=""1285.635""","=""""","=""""","=""6.17e+03""",E,"=""109062.32""","=""116838.45""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.10d""","=""2D""","=""5/2""",,"=""c59,LS""","=""""",
Mg,2,"=""""","=""""","=""1285.640""","=""""","=""""","=""1.24e+05""",D+,"=""109062.35""","=""116838.45""","=""2p6.6f""","=""2F*""","=""7/2""","=""2p6.10d""","=""2D""","=""5/2""",,"=""c59,LS""","=""""",
Fe,2,"=""1286.20503""","=""0.00007""","=""1286.20488""","=""0.00012""","=""6""","=""""",,"=""103878.370""","=""111651.055""","=""3d6.(3H).4d""","=""4I""","=""15/2""","=""3d5.(4G).4s.(5G).4p""","=""4H*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1286.35659""","=""0.00008""","=""1286.35631""","=""0.00010""","=""5""","=""3.1e+04""",E,"=""102394.764""","=""110166.534""","=""3d6.(5D).6s""","=""4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
S,4,"=""""","=""""","=""1286.37+""","=""""","=""""","=""3.97e+04""",D,"=""285122.2""","=""292893.9""","=""3s2.5p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).4p""","=""2P""","=""3/2""",,"=""T6527c4,LS""","=""""",
C,1,"=""""","=""""","=""1286.37""","=""0.03""","=""""","=""3.5e+04""",D,"=""80834.62491""","=""88606.32""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""T5520LS""","=""""",
Ne,1,"=""1286.4091""","=""0.0003""","=""1286.4095""","=""0.0003""","=""7""","=""8.30e+04""",C+,"=""162517.8755""","=""170289.3243""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Fe,2,"=""1286.4167""","=""0.0007""","=""1286.41342""","=""0.00010""","=""1.4""","=""""",,"=""99688.355""","=""107459.780""","=""3d6.(3F2).5s""","=""f 4F""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c145""",
Ne,1,"=""1286.4730""","=""0.0002""","=""1286.47284""","=""0.00023""","=""11""","=""1.41e+05""",C+,"=""162517.8755""","=""170288.9415""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,2,"=""1286.50551""","=""0.00013""","=""1286.50552""","=""0.00013""","=""115""","=""""",,"=""246394.1202""","=""254164.9888""","=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",,"=""""","=""L11301""",
Fe,1,"=""1286.50578""","=""0.00017""","=""""","=""""","=""580""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Fe,2,"=""1286.56061""","=""0.00008""","=""1286.56042""","=""0.00012""","=""5""","=""""",,"=""103874.261""","=""111644.798""","=""3d6.(3H).4d""","=""4H""","=""9/2""","=""3d5.(2H).4s.4p.(3P*)""","=""4I*""","=""9/2""",,"=""""","=""L18349c139""",
Na,1,"=""""","=""""","=""1286.5906""","=""0.0005""","=""""","=""2.78e+03""",C',"=""33200.673""","=""[40971.028]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.16p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
Na,1,"=""""","=""""","=""1286.5992""","=""0.0005""","=""""","=""2.78e+03""",C',"=""33200.673""","=""[40970.976]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.16p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
C,1,"=""""","=""""","=""1286.627""","=""0.004""","=""""","=""6.e+03""",D,"=""80834.62491""","=""88604.76""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,2,"=""1286.8438""","=""0.0003""","=""1286.84510""","=""0.00013""","=""0.8""","=""""",,"=""100749.825""","=""108518.643""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Co,2,"=""1286.8887""","=""0.0014""","=""1286.8921""","=""0.0005""","=""4""","=""4.1e+04""",D,"=""90199.163""","=""97967.697""","=""3d7.(4F).4d""","=""f 5F""","=""4""","=""3d7.(4F).5p""","=""3F*""","=""3""",,"=""T6999""","=""L9429c118""",
Ne,2,"=""1287.0625""","=""0.0009""","=""1287.06216""","=""0.00020""","=""12""","=""""",,"=""246397.4810""","=""254164.9888""","=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",,"=""""","=""L11301""",
C,1,"=""""","=""""","=""1287.205""","=""0.003""","=""""","=""8.e+04""",D,"=""80782.44916""","=""88549.095""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""1287.331""","=""""","=""""","=""2.38e+05""",D+,"=""103735.48""","=""111501.368""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
Cs,2,"=""1287.39651""","=""0.00015""","=""1287.39656""","=""0.00021""","=""4800""","=""""",,"=""158057.4164""","=""165822.9066""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L12126""",
C,1,"=""""","=""""","=""1287.405""","=""0.020""","=""""","=""3.6e+03""",D,"=""81325.81077""","=""89091.25""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""T5520LS""","=""""",
Fe,2,"=""1287.67509""","=""0.00017""","=""1287.67484""","=""0.00012""","=""1.5""","=""""",,"=""103832.057""","=""111595.869""","=""3d6.(3H).4d""","=""4K""","=""13/2""","=""3d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1287.84327""","=""0.00008""","=""1287.84321""","=""0.00008""","=""15""","=""7.2e+05""",C+,"=""83812.352""","=""91575.149""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""1287.9377""","=""0.0004""","=""1287.93745""","=""0.00012""","=""1""","=""""",,"=""107217.854""","=""114980.083""","=""3d6.(5D).6p""","=""6F*""","=""9/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c148""",
Fe,1,"=""1287.9769""","=""0.0005""","=""1287.97661""","=""0.00023""","=""910""","=""2.00e+03""",C+,"=""18378.186""","=""26140.179""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""T5720""","=""L11631""",
C,1,"=""""","=""""","=""1288.051""","=""0.013""","=""""","=""1.0e+05""",D,"=""80834.62491""","=""[88596.17]""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",,"=""T5520LS""","=""""",
C,1,"=""""","=""""","=""1288.086""","=""0.005""","=""""","=""3.3e+05""",D,"=""80782.44916""","=""88543.78""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""T5520LS""","=""""",
C,1,"=""""","=""""","=""1288.1""","=""0.3""","=""""","=""8.e+04""",D,"=""80782.44916""","=""88543.5""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,1,"=""1288.4637""","=""0.0005""","=""1288.46347""","=""0.00023""","=""15""","=""""",,"=""46720.842""","=""54479.902""","=""3d7.(4P).4p""","=""u 5D*""","=""4""","=""3d6.4s.(6D).6s""","=""5D""","=""4""",,"=""""","=""L11631""",
Ne,1,"=""1288.71630""","=""0.00017""","=""1288.71593""","=""0.00023""","=""14""","=""""",,"=""151038.4524""","=""158795.9924""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
C,1,"=""""","=""""","=""1288.751""","=""0.022""","=""""","=""1.0e+04""",D,"=""80801.28887""","=""88558.62""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""T5520LS""","=""""",
Fe,1,"=""1289.0693""","=""0.0005""","=""1289.06971""","=""0.00023""","=""5""","=""""",,"=""44458.934""","=""52214.345""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""0""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,"=""""","=""L11631""",
N,2,"=""""","=""""","=""1289.116""","=""""","=""""","=""2.11e+07""",B,"=""202170.63""","=""209925.76""","=""2s2.2p.4p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1D*""","=""2""",,"=""T5520""","=""""",
Fe,2,"=""1289.57708""","=""0.00015""","=""1289.57737""","=""0.00012""","=""1.7""","=""""",,"=""103983.496""","=""111735.854""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""","=""3d6.(3H).5p""","=""4H*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1289.61175""","=""0.00006""","=""1289.61480""","=""0.00017""","=""110bl(Fe I)""","=""""",,"=""84266.594""","=""92018.727""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,1,"=""1289.6119""","=""0.0005""","=""1289.61180""","=""0.00023""","=""269""","=""""",,"=""39625.804""","=""47377.955""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""""","=""L11631""",
C,1,"=""1289.7217""","=""0.0008""","=""1289.7204""","=""0.0004""","=""8300""","=""1.4e+06""",D,"=""78731.2956""","=""86482.794""","=""2s2.2p.3d""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""T9787""","=""L12175c183""",
Fe,1,"=""1289.7222""","=""0.0005""","=""1289.7229""","=""0.0004""","=""13""","=""""",,"=""42859.778""","=""50611.261""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""3""",,"=""""","=""L11631""",
N,1,"=""""","=""""","=""1289.7334""","=""""","=""""","=""3.23e+06""",C+,"=""96864.050""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
Fe,2,"=""""","=""""","=""1289.7450""","=""0.0003""","=""""","=""1.94e-02""",C+,"=""22637.1950""","=""30388.5451""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""",M1,"=""T8961""","=""""",
Fe,2,"=""1289.8346""","=""0.0003""","=""1289.83476""","=""0.00018""","=""1.4""","=""""",,"=""104593.292""","=""112344.103""","=""3d6.(5D).5d""","=""6G""","=""11/2""","=""3d5.(4F).4s.4p.(3P*)""","=""4G*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""1289.95690""","=""0.00013""","=""1289.95692""","=""0.00012""","=""2.4""","=""""",,"=""102394.764""","=""110144.841""","=""3d6.(5D).6s""","=""4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1290.027""","=""0.005""","=""""","=""2.7e+05""",D,"=""80834.62491""","=""88584.28""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,2,"=""1290.05021""","=""0.00015""","=""1290.05030""","=""0.00013""","=""1.7""","=""""",,"=""103986.338""","=""111735.854""","=""3d6.(3H).4d""","=""4H""","=""7/2""","=""3d6.(3H).5p""","=""4H*""","=""7/2""",,"=""""","=""L18349c139""",
Cs,2,"=""1290.1091""","=""0.0005""","=""1290.0965""","=""0.0003""","=""2400bl*""","=""""",,"=""166806.1612""","=""174555.3995""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""5p5.(2P*<3/2>).6g""","=""2[9/2]*""","=""5""",,"=""""","=""L12126""",
Cs,2,"=""1290.1091""","=""0.0005""","=""1290.1146""","=""0.0005""","=""2400bl*""","=""""",,"=""166806.1612""","=""174555.2911""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""5p5.(2P*<3/2>).6g""","=""2[9/2]*""","=""4""",,"=""""","=""L12126""",
S,1,"=""""","=""""","=""1290.1499""","=""0.0013""","=""""","=""1.56e+05""",E,"=""70164.610""","=""77913.528""","=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","=""3s2.3p3.(4S*).6p""","=""3P""","=""1""",,"=""T8595,T7952""","=""""",
Si,3,"=""""","=""""","=""1290.163""","=""""","=""""","=""2.51e+07""",B,"=""227665.09""","=""235413.93""","=""3s.5d""","=""1D""","=""2""","=""3p.3d""","=""1F*""","=""3""",,"=""T6298c4""","=""""",
